Model,Element,Element Type,Family,Category,Element Id,Added by,Computer Number,Date,Time,Transaction Name
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310014,Joven_MS,CAD_137,05-06-24,14:43:38,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310015,Joven_MS,CAD_137,05-06-24,14:43:38,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310030,Joven_MS,CAD_137,05-06-24,14:43:39,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310031,Joven_MS,CAD_137,05-06-24,14:43:39,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310032,Joven_MS,CAD_137,05-06-24,14:43:39,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310033,Joven_MS,CAD_137,05-06-24,14:43:39,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310050,Joven_MS,CAD_137,05-06-24,14:43:40,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310051,Joven_MS,CAD_137,05-06-24,14:43:40,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310052,Joven_MS,CAD_137,05-06-24,14:43:40,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310053,Joven_MS,CAD_137,05-06-24,14:43:40,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310079,Joven_MS,CAD_137,05-06-24,14:45:48,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310080,Joven_MS,CAD_137,05-06-24,14:45:48,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310081,Joven_MS,CAD_137,05-06-24,14:45:48,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310082,Joven_MS,CAD_137,05-06-24,14:45:48,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309837,Joven_MS,CAD_137,07-06-24,09:39:01,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309838,Joven_MS,CAD_137,07-06-24,09:39:01,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309839,Joven_MS,CAD_137,07-06-24,09:39:01,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309840,Joven_MS,CAD_137,07-06-24,09:39:01,Wall - Rectangle
Project1,1810x2110mm,Doors_ExtDbl_Flush,Doors_ExtDbl_Flush,Doors,309852,Joven_MS,CAD_137,07-06-24,09:39:04,Door
Project1,1810x2110mm,Doors_ExtDbl_Flush,Doors_ExtDbl_Flush,Doors,309885,Joven_MS,CAD_137,07-06-24,09:39:06,Door
Project1,1810x2110mm,Doors_ExtDbl_Flush,Doors_ExtDbl_Flush,Doors,309936,Joven_MS,CAD_137,07-06-24,09:39:07,Door
Project1,1810x2110mm,Doors_ExtDbl_Flush,Doors_ExtDbl_Flush,Doors,310184,Joven_MS,CAD_137,07-06-24,09:41:31,Door
Project1,1810x2110mm,Doors_ExtDbl_Flush,Doors_ExtDbl_Flush,Doors,309885,Joven_MS,CAD_137,07-06-24,09:42:32,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309835,Joven_MS,CAD_137,07-06-24,11:12:27,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309836,Joven_MS,CAD_137,07-06-24,11:12:27,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309837,Joven_MS,CAD_137,07-06-24,11:12:27,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309838,Joven_MS,CAD_137,07-06-24,11:12:27,Wall - Rectangle
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309838,Joven_MS,CAD_137,07-06-24,13:32:02,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309835,Joven_MS,CAD_137,07-06-24,13:32:06,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309836,Joven_MS,CAD_137,07-06-24,13:32:10,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,309837,Joven_MS,CAD_137,07-06-24,13:32:14,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310816,Joven_MS,CAD_137,07-06-24,14:36:18,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310857,Joven_MS,CAD_137,07-06-24,14:36:20,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310883,Joven_MS,CAD_137,07-06-24,14:36:22,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310932,Joven_MS,CAD_137,07-06-24,14:36:28,Copy
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310940,Joven_MS,CAD_137,07-06-24,14:36:29,Copy
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310948,Joven_MS,CAD_137,07-06-24,14:36:31,Copy
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,310956,Joven_MS,CAD_137,07-06-24,14:36:32,Copy
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312606,Joven_MS,CAD_137,07-06-24,14:58:34,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312614,Joven_MS,CAD_137,07-06-24,14:58:36,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312678,Joven_MS,CAD_137,07-06-24,14:58:45,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312685,Joven_MS,CAD_137,07-06-24,14:58:46,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312697,Joven_MS,CAD_137,07-06-24,14:58:47,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312750,Joven_MS,CAD_137,07-06-24,14:58:49,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312764,Joven_MS,CAD_137,07-06-24,14:58:51,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312786,Joven_MS,CAD_137,07-06-24,14:58:52,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312849,Joven_MS,CAD_137,07-06-24,14:58:54,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312860,Joven_MS,CAD_137,07-06-24,14:58:55,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312878,Joven_MS,CAD_137,07-06-24,14:58:56,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312897,Joven_MS,CAD_137,07-06-24,14:58:58,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312919,Joven_MS,CAD_137,07-06-24,14:58:59,Wall - Line
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Basic Wall,Walls,312950,Joven_MS,CAD_137,07-06-24,14:59:02,Wall - Line
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1466663,Joven_MS,CAD_137,07-06-24,15:52:14,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1466664,Joven_MS,CAD_137,07-06-24,15:52:14,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1466665,Joven_MS,CAD_137,07-06-24,15:52:14,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1466666,Joven_MS,CAD_137,07-06-24,15:52:14,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1466894,Joven_MS,CAD_137,07-06-24,16:14:02,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1466895,Joven_MS,CAD_137,07-06-24,16:14:02,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1466896,Joven_MS,CAD_137,07-06-24,16:14:02,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1466897,Joven_MS,CAD_137,07-06-24,16:14:02,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1467126,Joven_MS,CAD_137,07-06-24,16:17:15,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1467127,Joven_MS,CAD_137,07-06-24,16:17:15,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1467128,Joven_MS,CAD_137,07-06-24,16:17:15,Wall - Rectangle
NDH_SKA_ARC_CLP_000_M3,Generic - 175mm,Basic Wall,Basic Wall,Walls,1467129,Joven_MS,CAD_137,07-06-24,16:17:15,Wall - Rectangle
