Model,Element,Element Type,Family,Category,Element Id,Modified by,Computer Number,Date,Time,Transaction Name
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309884,Joven_MS,CAD_137,05-06-24,12:08:58,Delete Selection
Project1,910x910mm,910x910mm,Windows_Sgl_Plain,Windows,309933,Joven_MS,CAD_137,05-06-24,12:08:58,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309867,Joven_MS,CAD_137,05-06-24,12:08:59,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309869,Joven_MS,CAD_137,05-06-24,12:12:08,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309881,Joven_MS,CAD_137,05-06-24,12:12:09,Delete Selection
Project1,,,,,194749,Joven_MS,CAD_137,05-06-24,12:16:13,Floor
Project1,Sketch,,,,309921,Joven_MS,CAD_137,05-06-24,12:16:16,Line - Rectangle
Project1,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Floor,Floors,309922,Joven_MS,CAD_137,05-06-24,12:16:16,Line - Rectangle
Project1,,,,,194749,Joven_MS,CAD_137,05-06-24,12:16:17,Finish sketch
Project1,Sketch,,,,309921,Joven_MS,CAD_137,05-06-24,12:16:17,Finish sketch
Project1,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Floor,Floors,309922,Joven_MS,CAD_137,05-06-24,12:16:17,Finish sketch
Project1,,,,,194749,Joven_MS,CAD_137,05-06-24,14:32:13,Floor
Project1,Sketch,,,,309850,Joven_MS,CAD_137,05-06-24,14:32:16,Line - Rectangle
Project1,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Floor,Floors,309851,Joven_MS,CAD_137,05-06-24,14:32:16,Line - Rectangle
Project1,,,,,194749,Joven_MS,CAD_137,05-06-24,14:32:16,Finish sketch
Project1,Sketch,,,,309850,Joven_MS,CAD_137,05-06-24,14:32:16,Finish sketch
Project1,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Floor-Grnd-Susp_65Scr-80Ins-100Blk-75PC,Floor,Floors,309851,Joven_MS,CAD_137,05-06-24,14:32:16,Finish sketch
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309838,Joven_MS,CAD_137,05-06-24,14:32:35,Door
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309836,Joven_MS,CAD_137,05-06-24,14:32:38,Window
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309838,Joven_MS,CAD_137,05-06-24,14:32:41,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309836,Joven_MS,CAD_137,05-06-24,14:37:06,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309835,Joven_MS,CAD_137,05-06-24,14:42:20,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309836,Joven_MS,CAD_137,05-06-24,14:42:20,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,309838,Joven_MS,CAD_137,05-06-24,14:42:20,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,310030,Joven_MS,CAD_137,05-06-24,14:43:44,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,310031,Joven_MS,CAD_137,05-06-24,14:43:44,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,310032,Joven_MS,CAD_137,05-06-24,14:43:44,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,310080,Joven_MS,CAD_137,05-06-24,14:45:51,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,310081,Joven_MS,CAD_137,05-06-24,14:45:51,Delete Selection
Project1,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Wall-Ext_102Bwk-75Ins-100LBlk-12P,Basic Wall,Walls,310082,Joven_MS,CAD_137,05-06-24,14:45:51,Delete Selection
