User,Computer Number,Model Name,Date,Time
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_B2-FIN_M3_SD,12-07-24,14:35:59
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_SHT_M2,15-07-24,09:43:35
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,15-07-24,15:55:54
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,16-07-24,09:40:46
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_L4-FIN_M3_SD,16-07-24,17:51:20
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,17-07-24,09:17:50
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN-INTM_M3_SD,17-07-24,10:13:21
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN-INTM_M3_SD,17-07-24,10:49:14
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN-INTM_M3_SD,17-07-24,11:01:29
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,17-07-24,11:08:11
Joven_MS,CAD_137,rme_advanced_sample_project,17-07-24,17:55:34
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,18-07-24,09:16:31
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,19-07-24,09:14:34
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,19-07-24,16:54:19
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,22-07-24,09:20:35
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_L0-FIN_M3_SD,22-07-24,11:53:03
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_B2-FIN_M3_SD,23-07-24,09:14:00
Joven_MS,CAD_137,SV_LOUVRE_H,23-07-24,09:36:48
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,24-07-24,09:21:41
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,24-07-24,10:50:00
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_L0-FIN_M3_SD,25-07-24,08:13:19
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,25-07-24,09:16:31
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_SHT_M2,25-07-24,14:53:34
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,26-07-24,09:22:13
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,26-07-24,10:26:30
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_SHT_M2,26-07-24,11:00:58
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_LG-FIN_M3_SD,26-07-24,11:10:42
Joven_MS,CAD_137,rac_advanced_sample_project,26-07-24,18:18:14
Joven_MS,CAD_137,NDH_SKA_ARC_NAB_SHT_M2,30-07-24,09:15:00
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,30-07-24,09:23:52
Joven_MS,CAD_137,rac_advanced_sample_project,30-07-24,10:52:49
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,30-07-24,11:39:41
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,31-07-24,10:26:38
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,01-08-24,09:13:26
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,01-08-24,17:34:11
Joven_MS,CAD_137,NDH_SKA_LAN_000_000_M3,02-08-24,09:14:26
