code,description
PH,VINYL PROTECTION SHEET-PUSH SIDE
PL,VINYL PROTECTION SHEET-PULL SIDE
WL,VINYL PROTECTION SHEET-WALL SIDE
TK,VINYL PROTECTION SHEET-TRACK SIDE
PHS,STAINLESS STEEL PROTECTION SHEET-PUSH SIDE
PLS,STAINLESS STEEL PROTECTION SHEET-PULL SIDE
WLS,STAINLESS STEEL PROTECTION SHEET-WALL SIDE
TKS,STAINLESS STEEL PROTECTION SHEET-TRACK SIDE
